Clock Speed,4.00E+09,,,,,,,,,,,
,,,,,,,,,,,,
nFiles,Size,Checks,R/F,Print,nProc,Time,FPS,FPS/core,pCycles,Throughput,pCycles/file,pC/MB
46,56.69181823730469,Y,R,Y,6,17.76591396331787,0.38621552094169287,0.06436925349028215,426381935119.6289,3.1910442859488675,9269172502.600628,7521048863.432969
45,56.70797252655029,Y,R,Y,6,17.84996199607849,0.39666582213507756,0.06611097035584626,428399087905.8838,3.176923992275649,9519979731.241861,7554477242.248613
45,56.70797252655029,Y,R,Y,1,66.82442474365234,1.4849872165256077,1.4849872165256077,267297698974.60938,0.8486114582218979,5939948866.10243,4713582360.0369835
2,1.5302276611328125,Y,R,Y,6,1.4424984455108643,0.7212492227554321,0.12020820379257202,34619962692.26074,1.0608175460396276,17309981346.13037,22624060178.4913
1,1.2670955657958984,Y,R,Y,1,1.4989128112792969,1.4989128112792969,1.4989128112792969,5995651245.1171875,0.8453430755018057,5995651245.1171875,4731806666.335503
2,1.5302276611328125,Y,R,Y,6,1.462069034576416,0.731034517288208,0.12183908621470134,35089656829.833984,1.0466179263389865,17544828414.916992,22931004138.206112
2,1.5302276611328125,Y,R,Y,6,1.3747577667236328,0.6873788833618164,0.1145631472269694,32994186401.367188,1.1130889369548358,16497093200.683594,21561619384.753452
1,1.2670955657958984,Y,R,Y,1,1.2028234004974365,1.2028234004974365,1.2028234004974365,4811293601.989746,1.0534344154527437,4811293601.989746,3797103969.0030303
45,56.70797252655029,Y,R,Y,1,64.54798173904419,1.434399594200982,1.434399594200982,258191926956.17676,0.8785398241545392,5737598376.803928,4553009311.614747
45,56.70797252655029,Y,R,N,6,17.387205839157104,0.38638235198126897,0.06439705866354482,417292940139.7705,3.2614770338107055,9273176447.550455,7358629158.261597
1,0.870518684387207,Y,R,N,6,1.7965726852416992,1.7965726852416992,0.2994287808736165,43117744445.80078,0.4845440941734529,43117744445.80078,49531095907.66922
1,0.5687093734741211,Y,R,Y,1,0.859144926071167,0.859144926071167,0.859144926071167,3436579704.284668,0.6619481256495394,3436579704.284668,6042769584.210217
1,0.5687093734741211,Y,R,Y,1,0.5467269420623779,0.5467269420623779,0.5467269420623779,2186907768.2495117,1.040207331522424,2186907768.2495117,3845387240.393403
1,0.5687093734741211,Y,R,Y,1,0.7497963905334473,0.7497963905334473,0.7497963905334473,2999185562.133789,0.7584850776215518,2999185562.133789,5273670000.9223
1,0.5687093734741211,Y,R,Y,1,1.077899694442749,1.077899694442749,1.077899694442749,4311598777.770996,0.5276088085061863,4311598777.770996,7581374562.955386
1,0.5687093734741211,Y,R,Y,1,0.9216876029968262,0.9216876029968262,0.9216876029968262,3686750411.9873047,0.61703051188384,3686750411.9873047,6482661591.2197
1,0.5687093734741211,Y,R,Y,1,0.5779731273651123,0.5779731273651123,0.5779731273651123,2311892509.460449,0.9839719989522295,2311892509.460449,4065156329.915232
45,56.70797252655029,Y,R,Y,1,65.26109600067139,1.4502465777926974,1.4502465777926974,261044384002.68555,0.8689399351486052,5800986311.17079,4603310123.28939
45,56.70797252655029,Y,R,Y,6,17.558366298675537,0.39018591774834527,0.06503098629139088,421400791168.2129,3.2296838761603857,9364462025.960287,7431067844.488989
50,57.2798433303833,Y,R,Y,6,18.542510509490967,0.37085021018981934,0.06180836836496989,445020252227.7832,3.0891093900723243,8900405044.555664,7769229564.071247
49,59.865427017211914,Y,R,Y,6,18.808094263076782,0.3838386584301384,0.0639731097383564,451394262313.8428,3.1829608135650975,9212127802.323322,7540149378.439452
49,60.33417510986328,Y,R,Y,6,19.136122941970825,0.39053312126471074,0.06508885354411846,459266950607.2998,3.15289441298131,9372794910.353058,7612053198.224964
148,177.4794454574585,Y,R,Y,1,207.80614018440247,1.404095541786503,1.404095541786503,831224560737.6099,0.8540625666785748,5616382167.146012,4683497621.908296
1,1.198594093322754,Y,R,Y,1,1.989445447921753,1.989445447921753,1.989445447921753,7957781791.687012,0.6024764813605967,7957781791.687012,6639263313.592989
1,1.198594093322754,Y,R,Y,1,1.9964561462402344,1.9964561462402344,1.9964561462402344,7985824584.9609375,0.6003608421752564,7985824584.9609375,6662659718.956697
1,1.198594093322754,Y,R,Y,1,1.9821295738220215,1.9821295738220215,1.9821295738220215,7928518295.288086,0.6047001715491167,7928518295.288086,6614848462.425318
1,1.198594093322754,Y,R,Y,1,1.939856767654419,1.939856767654419,1.939856767654419,7759427070.617676,0.6178776254558402,7759427070.617676,6473773827.056764
1,1.198594093322754,Y,R,Y,1,2.0236706733703613,2.0236706733703613,2.0236706733703613,8094682693.481445,0.5922871290744814,8094682693.481445,6753481214.846712
1,1.198594093322754,Y,R,Y,1,1.9968953132629395,1.9968953132629395,1.9968953132629395,7987581253.051758,0.6002288078708762,7987581253.051758,6664125326.121464
1,1.198594093322754,Y,R,Y,1,2.1670238971710205,2.1670238971710205,2.1670238971710205,8668095588.684082,0.5531060801348244,8668095588.684082,7231885787.668372
1,1.198594093322754,Y,R,Y,1,1.9846680164337158,1.9846680164337158,1.9846680164337158,7938672065.734863,0.6039267441194162,7938672065.734863,6623319862.796254
1,1.198594093322754,Y,R,Y,1,1.9666399955749512,1.9666399955749512,1.9666399955749512,7866559982.299805,0.6094628889983205,7866559982.299805,6563155972.587894
1,1.198594093322754,Y,R,Y,1,2.0028605461120605,2.0028605461120605,2.0028605461120605,8011442184.448242,0.5984411124626009,8011442184.448242,6684032758.945813
1,1.198594093322754,Y,R,Y,1,1.9022064208984375,1.9022064208984375,1.9022064208984375,7608825683.59375,0.6301072691977572,7608825683.59375,6348125462.975119
1,1.198594093322754,Y,R,Y,1,1.876852035522461,1.876852035522461,1.876852035522461,7507408142.089844,0.6386193853523995,7507408142.089844,6263511712.524576
46,59.02511024475098,Y,R,Y,6,24.681753635406494,0.5365598616392716,0.08942664360654527,592362087249.7559,2.391447184695913,12877436679.342518,10035764182.286026
49,60.943674087524414,Y,R,Y,6,18.667503356933594,0.3809694562639509,0.06349490937732515,448020080566.40625,3.26469335091285,9143266950.334822,7351379569.321355
50,62.78801441192627,Y,R,Y,6,19.104878425598145,0.3820975685119629,0.06368292808532715,458517082214.35547,3.286491178493876,9170341644.28711,7302621153.238164
48,60.35295391082764,Y,R,Y,6,18.136374950408936,0.37784114480018616,0.06297352413336436,435272998809.81445,3.3277297186374506,9068187475.204468,7212124189.529093
47,62.25426483154297,Y,R,Y,6,18.68310046195984,0.39751277578637956,0.06625212929772993,448394411087.03613,3.3321163667827625,9540306618.87311,7202629607.79265
